created_at,entry_id,field1,field2,,,,,,,,
2016-11-12 00:30:00 UTC,100,,86.3,,,,,,,,
2016-11-12 00:40:00 UTC,101,,92.3,,,,,,,,
2016-11-12 00:50:00 UTC,102,,112.0,,,,,,,,
2016-11-12 01:00:00 UTC,103,,115.6,,,,,,,,
2016-11-12 01:10:00 UTC,104,,117.4,,,,,,,,
2016-11-12 01:20:00 UTC,105,,118.9,,,,,,,,
2016-11-12 01:30:00 UTC,106,,120.1,,,,,,,,
2016-11-12 01:40:00 UTC,107,,121.0,,,,,,,,
2016-11-12 01:50:00 UTC,108,,117.8,,,,,,,,
2016-11-12 02:00:00 UTC,109,,122.9,,,,,,,,
2016-11-12 02:10:00 UTC,110,,123.4,,,,,,,,
2016-11-12 02:20:00 UTC,111,,125.6,,,,,,,,
2016-11-12 02:30:00 UTC,112,,123.9,,,,,,,,
2016-11-12 02:40:00 UTC,113,,126.7,,,,,,,,
2016-11-12 02:50:00 UTC,114,,128.9,,,,,,,,
2016-11-12 03:00:00 UTC,115,,130.4,,,,,,,,
2016-11-12 03:10:00 UTC,116,,133.2,,,,,,,,
2016-11-12 03:20:00 UTC,117,,131.0,,,,,,,,
2016-11-12 03:30:00 UTC,118,,134.7,,,,,,,,
2016-11-12 03:40:00 UTC,119,,134.8,,,,,,,,
2016-11-12 03:50:00 UTC,120,,132.6,,,,,,,,
2016-11-12 04:00:00 UTC,121,,133.5,,,,,,,,
2016-11-12 04:10:00 UTC,122,,129.3,,,,,,,,
2016-11-12 04:20:00 UTC,123,,131.5,,,,,,,,
2016-11-12 04:30:00 UTC,124,,131.4,,,,,,,,
2016-11-12 04:40:00 UTC,125,,130.1,,,,,,,,
2016-11-12 04:50:00 UTC,126,,129.6,,,,,,,,
2016-11-12 05:00:00 UTC,127,,130.5,,,,,,,,
2016-11-12 05:10:00 UTC,128,,129.3,,,,,,,,
2016-11-12 05:20:00 UTC,129,,129.9,,,,,,,,
2016-11-12 05:30:00 UTC,130,,129.5,,,,,,,,
2016-11-12 05:40:00 UTC,131,,130.1,,,,,,,,
2016-11-12 05:50:00 UTC,132,,131.1,,,,,,,,
2016-11-12 06:00:00 UTC,133,,132.5,,,,,,,,
2016-11-12 06:10:00 UTC,134,,132.0,,,,,,,,
2016-11-12 06:20:00 UTC,135,,135.3,,,,,,,,
2016-11-12 06:30:00 UTC,136,,134.1,,,,,,,,
2016-11-12 06:40:00 UTC,137,,136.7,,,,,,,,
2016-11-12 06:50:00 UTC,138,,132.4,,,,,,,,
2016-11-12 07:00:00 UTC,139,,135.1,,,,,,,,
2016-11-12 07:10:00 UTC,140,,128.8,,,,,,,,
2016-11-12 07:20:00 UTC,141,,134.3,,,,,,,,
2016-11-12 07:30:00 UTC,142,,133.7,,,,,,,,
2016-11-12 07:40:00 UTC,143,,132.3,,,,,,,,
2016-11-12 07:50:00 UTC,144,,134.4,,,,,,,,
2016-11-12 08:00:00 UTC,145,,134.8,,,,,,,,
